Hospital,City,State,deathCause,deathRate
UNIVERSITY OF NORTH CAROLINA HOSPITAL,CHAPEL HILL,NC,pneumonia,11.6
WILKES REGIONAL MEDICAL CENTER,NORTH WILKESBORO,NC,heart attack,15.1
WILKES REGIONAL MEDICAL CENTER,NORTH WILKESBORO,NC,heart failure,13.1
WILKES REGIONAL MEDICAL CENTER,NORTH WILKESBORO,NC,pneumonia,11.7
COLUMBUS REGIONAL HEALTHCARE SYSTEM,WHITEVILLE,NC,heart attack,15.8
COLUMBUS REGIONAL HEALTHCARE SYSTEM,WHITEVILLE,NC,heart failure,12.6
COLUMBUS REGIONAL HEALTHCARE SYSTEM,WHITEVILLE,NC,pneumonia,12.6
"WAKEMED, RALEIGH CAMPUS",RALEIGH,NC,heart attack,15.8
"WAKEMED, RALEIGH CAMPUS",RALEIGH,NC,heart failure,10.2
"WAKEMED, RALEIGH CAMPUS",RALEIGH,NC,pneumonia,12.6
ALAMANCE REGIONAL MEDICAL CENTER,BURLINGTON,NC,heart attack,14.3
ALAMANCE REGIONAL MEDICAL CENTER,BURLINGTON,NC,heart failure,14.6
ALAMANCE REGIONAL MEDICAL CENTER,BURLINGTON,NC,pneumonia,12.1
BETSY JOHNSON REGIONAL  HOSPITAL,DUNN,NC,heart attack,14.7
BETSY JOHNSON REGIONAL  HOSPITAL,DUNN,NC,heart failure,9.2
BETSY JOHNSON REGIONAL  HOSPITAL,DUNN,NC,pneumonia,8.6
DUKE HEALTH RALEIGH HOSPITAL,RALEIGH,NC,heart attack,13.5
DUKE HEALTH RALEIGH HOSPITAL,RALEIGH,NC,heart failure,10.9
DUKE HEALTH RALEIGH HOSPITAL,RALEIGH,NC,pneumonia,12.2
GRACE HOSPITAL INC,MORGANTON,NC,heart attack,18.4
GRACE HOSPITAL INC,MORGANTON,NC,heart failure,9.9
GRACE HOSPITAL INC,MORGANTON,NC,pneumonia,10.8
ANSON COMMUNITY HOSPITAL,WADESBORO,NC,heart attack,
ANSON COMMUNITY HOSPITAL,WADESBORO,NC,heart failure,9.7
ANSON COMMUNITY HOSPITAL,WADESBORO,NC,pneumonia,10
THOMASVILLE MEDICAL CENTER,THOMASVILLE,NC,heart attack,15.6
THOMASVILLE MEDICAL CENTER,THOMASVILLE,NC,heart failure,11.4
THOMASVILLE MEDICAL CENTER,THOMASVILLE,NC,pneumonia,15.4
THE MCDOWELL HOSPITAL,MARION,NC,heart attack,15.2
THE MCDOWELL HOSPITAL,MARION,NC,heart failure,15.6
THE MCDOWELL HOSPITAL,MARION,NC,pneumonia,15.5
JOHNSTON MEMORIAL HOSPITAL,SMITHFIELD,NC,heart attack,16.8
JOHNSTON MEMORIAL HOSPITAL,SMITHFIELD,NC,heart failure,9.8
JOHNSTON MEMORIAL HOSPITAL,SMITHFIELD,NC,pneumonia,14.4
"MOSES H CONE MEMORIAL HOSPITAL, THE",GREENSBORO,NC,heart attack,15.8
"MOSES H CONE MEMORIAL HOSPITAL, THE",GREENSBORO,NC,heart failure,11.8
"MOSES H CONE MEMORIAL HOSPITAL, THE",GREENSBORO,NC,pneumonia,14.3
LEXINGTON MEMORIAL HOSPITAL INC,LEXINGTON,NC,heart attack,14.1
LEXINGTON MEMORIAL HOSPITAL INC,LEXINGTON,NC,heart failure,10.7
LEXINGTON MEMORIAL HOSPITAL INC,LEXINGTON,NC,pneumonia,11.8
HUGH CHATHAM MEMORIAL HOSPITAL,ELKIN,NC,heart attack,13.6
HUGH CHATHAM MEMORIAL HOSPITAL,ELKIN,NC,heart failure,11.9
HUGH CHATHAM MEMORIAL HOSPITAL,ELKIN,NC,pneumonia,10.9
CAROLINAS MED CENTER-MERCY,CHARLOTTE,NC,heart attack,15.2
CAROLINAS MED CENTER-MERCY,CHARLOTTE,NC,heart failure,12.1
CAROLINAS MED CENTER-MERCY,CHARLOTTE,NC,pneumonia,10.7
VIDANT ROANOKE CHOWAN HOSPITAL,AHOSKIE,NC,heart attack,15
VIDANT ROANOKE CHOWAN HOSPITAL,AHOSKIE,NC,heart failure,11.4
VIDANT ROANOKE CHOWAN HOSPITAL,AHOSKIE,NC,pneumonia,16.7
SANDHILLS REGIONAL MEDICAL CENTER,HAMLET,NC,heart attack,15
SANDHILLS REGIONAL MEDICAL CENTER,HAMLET,NC,heart failure,10.6
SANDHILLS REGIONAL MEDICAL CENTER,HAMLET,NC,pneumonia,12
VIDANT EDGECOMBE HOSPITAL,TARBORO,NC,heart attack,17.1
VIDANT EDGECOMBE HOSPITAL,TARBORO,NC,heart failure,11.9
VIDANT EDGECOMBE HOSPITAL,TARBORO,NC,pneumonia,19.3
ALBEMARLE HOSPITAL AUTHORITY,ELIZABETH CITY,NC,heart attack,15.3
ALBEMARLE HOSPITAL AUTHORITY,ELIZABETH CITY,NC,heart failure,12.4
ALBEMARLE HOSPITAL AUTHORITY,ELIZABETH CITY,NC,pneumonia,12.9
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,CHARLOTTE,NC,heart attack,15
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,CHARLOTTE,NC,heart failure,12.2
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,CHARLOTTE,NC,pneumonia,14.2
REX HOSPITAL,RALEIGH,NC,heart attack,14.1
REX HOSPITAL,RALEIGH,NC,heart failure,9
REX HOSPITAL,RALEIGH,NC,pneumonia,8.1
FIRSTHEALTH MOORE REGIONAL HOSPITAL,PINEHURST,NC,heart attack,14.3
FIRSTHEALTH MOORE REGIONAL HOSPITAL,PINEHURST,NC,heart failure,8.2
FIRSTHEALTH MOORE REGIONAL HOSPITAL,PINEHURST,NC,pneumonia,11.4
FRYE REGIONAL MEDICAL CENTER,HICKORY,NC,heart attack,15.8
FRYE REGIONAL MEDICAL CENTER,HICKORY,NC,heart failure,12.6
FRYE REGIONAL MEDICAL CENTER,HICKORY,NC,pneumonia,14.9
STANLY REGIONAL MEDICAL CENTER,ALBEMARLE,NC,heart attack,16.7
STANLY REGIONAL MEDICAL CENTER,ALBEMARLE,NC,heart failure,11.3
STANLY REGIONAL MEDICAL CENTER,ALBEMARLE,NC,pneumonia,12.1
VIDANT DUPLIN  HOSPITAL,KENANSVILLE,NC,heart attack,17.1
VIDANT DUPLIN  HOSPITAL,KENANSVILLE,NC,heart failure,12.6
VIDANT DUPLIN  HOSPITAL,KENANSVILLE,NC,pneumonia,14.8
RANDOLPH HOSPITAL,ASHEBORO,NC,heart attack,15.5
RANDOLPH HOSPITAL,ASHEBORO,NC,heart failure,14.4
RANDOLPH HOSPITAL,ASHEBORO,NC,pneumonia,10.8
WILSON MEDICAL CENTER,WILSON,NC,heart attack,16.8
WILSON MEDICAL CENTER,WILSON,NC,heart failure,11.8
WILSON MEDICAL CENTER,WILSON,NC,pneumonia,14.7
GRANVILLE MEDICAL CENTER,OXFORD,NC,heart attack,14.9
GRANVILLE MEDICAL CENTER,OXFORD,NC,heart failure,11.1
GRANVILLE MEDICAL CENTER,OXFORD,NC,pneumonia,11.1
LAKE NORMAN REGIONAL MEDICAL CENTER,MOORESVILLE,NC,heart attack,15.8
LAKE NORMAN REGIONAL MEDICAL CENTER,MOORESVILLE,NC,heart failure,11.2
LAKE NORMAN REGIONAL MEDICAL CENTER,MOORESVILLE,NC,pneumonia,13.2
DURHAM VA MEDICAL CENTER,DURHAM                        ,NC,heart attack,17.3
DURHAM VA MEDICAL CENTER,DURHAM                        ,NC,heart failure,12.6
DURHAM VA MEDICAL CENTER,DURHAM                        ,NC,pneumonia,11.4
CAROLINAS MEDICAL CENTER-UNION,MONROE,NC,heart attack,15.3
CAROLINAS MEDICAL CENTER-UNION,MONROE,NC,heart failure,11.6
CAROLINAS MEDICAL CENTER-UNION,MONROE,NC,pneumonia,11.2
CAROLINA EAST MEDICAL CENTER,NEW BERN,NC,heart attack,15.2
CAROLINA EAST MEDICAL CENTER,NEW BERN,NC,heart failure,11.8
CAROLINA EAST MEDICAL CENTER,NEW BERN,NC,pneumonia,13.7
MARIA PARHAM MEDICAL CENTER,HENDERSON,NC,heart attack,14
MARIA PARHAM MEDICAL CENTER,HENDERSON,NC,heart failure,10.2
MARIA PARHAM MEDICAL CENTER,HENDERSON,NC,pneumonia,12.1
MARTIN GENERAL HOSPITAL,WILLIAMSTON,NC,heart attack,16.2
MARTIN GENERAL HOSPITAL,WILLIAMSTON,NC,heart failure,9.1
MARTIN GENERAL HOSPITAL,WILLIAMSTON,NC,pneumonia,13.8
FAYETTEVILLE NC VA MEDICAL CENTER,FAYETTEVILLE                  ,NC,heart attack,
FAYETTEVILLE NC VA MEDICAL CENTER,FAYETTEVILLE                  ,NC,heart failure,10.4
FAYETTEVILLE NC VA MEDICAL CENTER,FAYETTEVILLE                  ,NC,pneumonia,13
NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NC,heart attack,14.7
NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NC,heart failure,13.7
NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NC,pneumonia,11.2
CARTERET GENERAL HOSPITAL,MOREHEAD CITY,NC,heart attack,13.8
CARTERET GENERAL HOSPITAL,MOREHEAD CITY,NC,heart failure,11.9
CARTERET GENERAL HOSPITAL,MOREHEAD CITY,NC,pneumonia,14.9
CATAWBA VALLEY MEDICAL CENTER,HICKORY,NC,heart attack,16.2
CATAWBA VALLEY MEDICAL CENTER,HICKORY,NC,heart failure,12
CATAWBA VALLEY MEDICAL CENTER,HICKORY,NC,pneumonia,18.6
DAVIS REGIONAL MEDICAL CENTER,STATESVILLE,NC,heart attack,15.3
DAVIS REGIONAL MEDICAL CENTER,STATESVILLE,NC,heart failure,11
DAVIS REGIONAL MEDICAL CENTER,STATESVILLE,NC,pneumonia,11.1
CAROLINAS MEDICAL CENTER-LINCOLN,LINCOLNTON,NC,heart attack,14.3
CAROLINAS MEDICAL CENTER-LINCOLN,LINCOLNTON,NC,heart failure,11.4
CAROLINAS MEDICAL CENTER-LINCOLN,LINCOLNTON,NC,pneumonia,9.9
NASH GENERAL HOSPITAL,ROCKY MOUNT,NC,heart attack,15.3
NASH GENERAL HOSPITAL,ROCKY MOUNT,NC,heart failure,11
NASH GENERAL HOSPITAL,ROCKY MOUNT,NC,pneumonia,12.5
MEDICAL PARK HOSPITAL,WINSTON-SALEM,NC,heart attack,
MEDICAL PARK HOSPITAL,WINSTON-SALEM,NC,heart failure,
MEDICAL PARK HOSPITAL,WINSTON-SALEM,NC,pneumonia,
HALIFAX REGIONAL MEDICAL CENTER INC,ROANOKE RAPIDS,NC,heart attack,15.4
HALIFAX REGIONAL MEDICAL CENTER INC,ROANOKE RAPIDS,NC,heart failure,9.9
HALIFAX REGIONAL MEDICAL CENTER INC,ROANOKE RAPIDS,NC,pneumonia,14
PRESBYTERIAN-ORTHOPAEDIC HOSPITAL,CHARLOTTE,NC,heart attack,
PRESBYTERIAN-ORTHOPAEDIC HOSPITAL,CHARLOTTE,NC,heart failure,
PRESBYTERIAN-ORTHOPAEDIC HOSPITAL,CHARLOTTE,NC,pneumonia,
DURHAM REGIONAL HOSPITAL,DURHAM,NC,heart attack,16.2
DURHAM REGIONAL HOSPITAL,DURHAM,NC,heart failure,13.3
DURHAM REGIONAL HOSPITAL,DURHAM,NC,pneumonia,13.5
CHEROKEE INDIAN HOSPITAL AUTHORITY,CHEROKEE,NC,heart attack,
CHEROKEE INDIAN HOSPITAL AUTHORITY,CHEROKEE,NC,heart failure,
CHEROKEE INDIAN HOSPITAL AUTHORITY,CHEROKEE,NC,pneumonia,10.9
BRUNSWICK COMMUNITY HOSPITAL,SUPPLY,NC,heart attack,14.2
BRUNSWICK COMMUNITY HOSPITAL,SUPPLY,NC,heart failure,11.8
BRUNSWICK COMMUNITY HOSPITAL,SUPPLY,NC,pneumonia,13.9
PERSON MEMORIAL HOSPITAL,ROXBORO,NC,heart attack,
PERSON MEMORIAL HOSPITAL,ROXBORO,NC,heart failure,11.9
PERSON MEMORIAL HOSPITAL,ROXBORO,NC,pneumonia,12.7
MURPHY MEDICAL CENTER INC,MURPHY,NC,heart attack,14.9
MURPHY MEDICAL CENTER INC,MURPHY,NC,heart failure,12
MURPHY MEDICAL CENTER INC,MURPHY,NC,pneumonia,12.5
CAROLINAS MED CTR-UNIVERSITY,CHARLOTTE,NC,heart attack,16.2
CAROLINAS MED CTR-UNIVERSITY,CHARLOTTE,NC,heart failure,14.6
CAROLINAS MED CTR-UNIVERSITY,CHARLOTTE,NC,pneumonia,11.9
PRESBYTERIAN HOSPITAL MATTHEWS,MATTHEWS,NC,heart attack,14.8
PRESBYTERIAN HOSPITAL MATTHEWS,MATTHEWS,NC,heart failure,12.9
PRESBYTERIAN HOSPITAL MATTHEWS,MATTHEWS,NC,pneumonia,12.1
"WAKEMED, CARY HOSPITAL",CARY,NC,heart attack,13.3
"WAKEMED, CARY HOSPITAL",CARY,NC,heart failure,9.7
"WAKEMED, CARY HOSPITAL",CARY,NC,pneumonia,11.6
W.G. (BILL) HEFNER SALISBURY VA MEDICAL CENTER (SALSBURY),SALISBURY                     ,NC,heart attack,
W.G. (BILL) HEFNER SALISBURY VA MEDICAL CENTER (SALSBURY),SALISBURY                     ,NC,heart failure,11.4
W.G. (BILL) HEFNER SALISBURY VA MEDICAL CENTER (SALSBURY),SALISBURY                     ,NC,pneumonia,12.7
PRESBYTERIAN HOSPITAL HUNTERSVILLE,HUNTERSVILLE,NC,heart attack,17.6
PRESBYTERIAN HOSPITAL HUNTERSVILLE,HUNTERSVILLE,NC,heart failure,9.9
PRESBYTERIAN HOSPITAL HUNTERSVILLE,HUNTERSVILLE,NC,pneumonia,8.8
MEDWEST HAYWOOD,CLYDE,NC,heart attack,14.6
MEDWEST HAYWOOD,CLYDE,NC,heart failure,11
MEDWEST HAYWOOD,CLYDE,NC,pneumonia,13.4
VIDANT BEAUFORT HOSPITAL,WASHINGTON,NC,heart attack,
VIDANT BEAUFORT HOSPITAL,WASHINGTON,NC,heart failure,
VIDANT BEAUFORT HOSPITAL,WASHINGTON,NC,pneumonia,
ASHEVILLE-OTEEN VA MEDICAL CENTER,ASHEVILLE                     ,NC,heart attack,13.8
ASHEVILLE-OTEEN VA MEDICAL CENTER,ASHEVILLE                     ,NC,heart failure,13.7
ASHEVILLE-OTEEN VA MEDICAL CENTER,ASHEVILLE                     ,NC,pneumonia,11
FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,TROY,NC,heart attack,
FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,TROY,NC,heart failure,
FIRSTHEALTH MONTGOMERY MEMORIAL HOSP,TROY,NC,pneumonia,10.4
VIDANT BERTIE  HOSPITAL,WINDSOR,NC,heart attack,
VIDANT BERTIE  HOSPITAL,WINDSOR,NC,heart failure,10.6
VIDANT BERTIE  HOSPITAL,WINDSOR,NC,pneumonia,12.3
PENDER MEMORIAL HOSPITAL,BURGAW,NC,heart attack,
PENDER MEMORIAL HOSPITAL,BURGAW,NC,heart failure,12
PENDER MEMORIAL HOSPITAL,BURGAW,NC,pneumonia,13.6
YADKIN VALLEY COMMUNITY HOSPITAL,YADKINVILLE,NC,heart attack,
YADKIN VALLEY COMMUNITY HOSPITAL,YADKINVILLE,NC,heart failure,
YADKIN VALLEY COMMUNITY HOSPITAL,YADKINVILLE,NC,pneumonia,
VIDANT PUNGO HOSPITAL,BELHAVEN,NC,heart attack,
VIDANT PUNGO HOSPITAL,BELHAVEN,NC,heart failure,13.4
VIDANT PUNGO HOSPITAL,BELHAVEN,NC,pneumonia,14.8
CHATHAM HOSPITAL INC,SILER CITY,NC,heart attack,
CHATHAM HOSPITAL INC,SILER CITY,NC,heart failure,12.3
CHATHAM HOSPITAL INC,SILER CITY,NC,pneumonia,12.8
DAVIE COUNTY HOSPITAL,MOCKSVILLE,NC,heart attack,
DAVIE COUNTY HOSPITAL,MOCKSVILLE,NC,heart failure,
DAVIE COUNTY HOSPITAL,MOCKSVILLE,NC,pneumonia,13.5
WASHINGTON COUNTY HOSP INC,PLYMOUTH,NC,heart attack,
WASHINGTON COUNTY HOSP INC,PLYMOUTH,NC,heart failure,11.5
WASHINGTON COUNTY HOSP INC,PLYMOUTH,NC,pneumonia,14.6
CAPE FEAR VALLEY-BLADEN COUNTY HOSPITAL,ELIZABETHTOWN,NC,heart attack,
CAPE FEAR VALLEY-BLADEN COUNTY HOSPITAL,ELIZABETHTOWN,NC,heart failure,13.1
CAPE FEAR VALLEY-BLADEN COUNTY HOSPITAL,ELIZABETHTOWN,NC,pneumonia,16.9
HIGHLANDS CASHIERS HOSPITAL INC,HIGHLANDS,NC,heart attack,
HIGHLANDS CASHIERS HOSPITAL INC,HIGHLANDS,NC,heart failure,
HIGHLANDS CASHIERS HOSPITAL INC,HIGHLANDS,NC,pneumonia,10.3
PIONEER COMMUNITY HOSPITAL OF STOKES,DANBURY,NC,heart attack,
PIONEER COMMUNITY HOSPITAL OF STOKES,DANBURY,NC,heart failure,
PIONEER COMMUNITY HOSPITAL OF STOKES,DANBURY,NC,pneumonia,11.1
VIDANT CHOWAN HOSPITAL,EDENTON,NC,heart attack,
VIDANT CHOWAN HOSPITAL,EDENTON,NC,heart failure,11.8
VIDANT CHOWAN HOSPITAL,EDENTON,NC,pneumonia,12.5
"TRANSYLVANIA REGIONAL HOSPITAL, INC",BREVARD,NC,heart attack,
"TRANSYLVANIA REGIONAL HOSPITAL, INC",BREVARD,NC,heart failure,13
"TRANSYLVANIA REGIONAL HOSPITAL, INC",BREVARD,NC,pneumonia,12.5
ALLEGHANY COUNTY MEMORIAL HOSPITAL,SPARTA,NC,heart attack,14.7
ALLEGHANY COUNTY MEMORIAL HOSPITAL,SPARTA,NC,heart failure,11
ALLEGHANY COUNTY MEMORIAL HOSPITAL,SPARTA,NC,pneumonia,11.8
BLOWING ROCK HOSPITAL,BLOWING ROCK,NC,heart attack,
BLOWING ROCK HOSPITAL,BLOWING ROCK,NC,heart failure,
BLOWING ROCK HOSPITAL,BLOWING ROCK,NC,pneumonia,
ST LUKES HOSPITAL,COLUMBUS,NC,heart attack,
ST LUKES HOSPITAL,COLUMBUS,NC,heart failure,13.6
ST LUKES HOSPITAL,COLUMBUS,NC,pneumonia,14
CHARLES A CANNON JR MEMORIAL HOSPITAL,LINVILLE,NC,heart attack,
CHARLES A CANNON JR MEMORIAL HOSPITAL,LINVILLE,NC,heart failure,11.3
CHARLES A CANNON JR MEMORIAL HOSPITAL,LINVILLE,NC,pneumonia,11.2
"THE OUTER BANKS HOSPITAL, INC",NAGS HEAD,NC,heart attack,
"THE OUTER BANKS HOSPITAL, INC",NAGS HEAD,NC,heart failure,
"THE OUTER BANKS HOSPITAL, INC",NAGS HEAD,NC,pneumonia,15.2
ASHE MEMORIAL HOSPITAL,JEFFERSON,NC,heart attack,
ASHE MEMORIAL HOSPITAL,JEFFERSON,NC,heart failure,11.9
ASHE MEMORIAL HOSPITAL,JEFFERSON,NC,pneumonia,11.1
ANGEL MEDICAL CENTER,FRANKLIN,NC,heart attack,16.3
ANGEL MEDICAL CENTER,FRANKLIN,NC,heart failure,12.2
ANGEL MEDICAL CENTER,FRANKLIN,NC,pneumonia,13.2
J ARTHUR DOSHER MEMORIAL HOSPITAL,SOUTHPORT,NC,heart attack,
J ARTHUR DOSHER MEMORIAL HOSPITAL,SOUTHPORT,NC,heart failure,12.8
J ARTHUR DOSHER MEMORIAL HOSPITAL,SOUTHPORT,NC,pneumonia,12.9
ST ALEXIUS MEDICAL CENTER,BISMARCK,ND,heart attack,16.8
ST ALEXIUS MEDICAL CENTER,BISMARCK,ND,heart failure,12.8
ST ALEXIUS MEDICAL CENTER,BISMARCK,ND,pneumonia,10.1
TRINITY HOSPITALS,MINOT,ND,heart attack,15.7
TRINITY HOSPITALS,MINOT,ND,heart failure,13.3
TRINITY HOSPITALS,MINOT,ND,pneumonia,14.1
SANFORD MEDICAL CENTER FARGO,FARGO,ND,heart attack,13.1
SANFORD MEDICAL CENTER FARGO,FARGO,ND,heart failure,11.5
SANFORD MEDICAL CENTER FARGO,FARGO,ND,pneumonia,11.1
MEDCENTER ONE,BISMARCK,ND,heart attack,15.2
MEDCENTER ONE,BISMARCK,ND,heart failure,11.6
MEDCENTER ONE,BISMARCK,ND,pneumonia,11.1
ALTRU HOSPITAL,GRAND FORKS,ND,heart attack,19.8
ALTRU HOSPITAL,GRAND FORKS,ND,heart failure,12.2
ALTRU HOSPITAL,GRAND FORKS,ND,pneumonia,13.1
P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,BELCOURT,ND,heart attack,
P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,BELCOURT,ND,heart failure,
P H S INDIAN HOSP AT BELCOURT-QUENTIN N BURDICK,BELCOURT,ND,pneumonia,12.1
STANDING ROCK INDIAN HEALTH SERVICE HOSPITAL,FORT YATES,ND,heart attack,
STANDING ROCK INDIAN HEALTH SERVICE HOSPITAL,FORT YATES,ND,heart failure,
STANDING ROCK INDIAN HEALTH SERVICE HOSPITAL,FORT YATES,ND,pneumonia,
ESSENTIA HEALTH-FARGO,FARGO,ND,heart attack,16.8
ESSENTIA HEALTH-FARGO,FARGO,ND,heart failure,10.1
ESSENTIA HEALTH-FARGO,FARGO,ND,pneumonia,11
TIOGA MEDICAL CENTER,TIOGA,ND,heart attack,
TIOGA MEDICAL CENTER,TIOGA,ND,heart failure,11
TIOGA MEDICAL CENTER,TIOGA,ND,pneumonia,12.7
MOUNTRAIL COUNTY MEDICAL CENTER,STANLEY,ND,heart attack,
MOUNTRAIL COUNTY MEDICAL CENTER,STANLEY,ND,heart failure,
MOUNTRAIL COUNTY MEDICAL CENTER,STANLEY,ND,pneumonia,
MCKENZIE COUNTY HEALTHCARE SYSTEMS,WATFORD CITY,ND,heart attack,
MCKENZIE COUNTY HEALTHCARE SYSTEMS,WATFORD CITY,ND,heart failure,11.1
MCKENZIE COUNTY HEALTHCARE SYSTEMS,WATFORD CITY,ND,pneumonia,12.9
GARRISON MEMORIAL HOSPITAL,GARRISON,ND,heart attack,
GARRISON MEMORIAL HOSPITAL,GARRISON,ND,heart failure,
GARRISON MEMORIAL HOSPITAL,GARRISON,ND,pneumonia,14.4
ST ANDREWS HEALTH CENTER - CAH,BOTTINEAU,ND,heart attack,
ST ANDREWS HEALTH CENTER - CAH,BOTTINEAU,ND,heart failure,
ST ANDREWS HEALTH CENTER - CAH,BOTTINEAU,ND,pneumonia,11.6
SANFORD MAYVILLE,MAYVILLE,ND,heart attack,
SANFORD MAYVILLE,MAYVILLE,ND,heart failure,11.6
SANFORD MAYVILLE,MAYVILLE,ND,pneumonia,12.7
SAKAKAWEA MEDICAL CENTER - CAH,HAZEN,ND,heart attack,
SAKAKAWEA MEDICAL CENTER - CAH,HAZEN,ND,heart failure,11.5
SAKAKAWEA MEDICAL CENTER - CAH,HAZEN,ND,pneumonia,13
LISBON AREA HEALTH SERVICES,LISBON,ND,heart attack,
LISBON AREA HEALTH SERVICES,LISBON,ND,heart failure,12.5
LISBON AREA HEALTH SERVICES,LISBON,ND,pneumonia,10.9
NORTHWOOD DEACONESS HEALTH CENTER,NORTHWOOD,ND,heart attack,
NORTHWOOD DEACONESS HEALTH CENTER,NORTHWOOD,ND,heart failure,
NORTHWOOD DEACONESS HEALTH CENTER,NORTHWOOD,ND,pneumonia,10.6
JACOBSON MEMORIAL HOSPITAL & CARE CENTER,ELGIN,ND,heart attack,
JACOBSON MEMORIAL HOSPITAL & CARE CENTER,ELGIN,ND,heart failure,
JACOBSON MEMORIAL HOSPITAL & CARE CENTER,ELGIN,ND,pneumonia,12.9
OAKES COMMUNITY HOSPITAL,OAKES,ND,heart attack,15.5
OAKES COMMUNITY HOSPITAL,OAKES,ND,heart failure,13.3
OAKES COMMUNITY HOSPITAL,OAKES,ND,pneumonia,15.1
PRESENTATION MEDICAL CENTER,ROLLA,ND,heart attack,
PRESENTATION MEDICAL CENTER,ROLLA,ND,heart failure,
PRESENTATION MEDICAL CENTER,ROLLA,ND,pneumonia,12.8
CARRINGTON HEALTH CENTER,CARRINGTON,ND,heart attack,
CARRINGTON HEALTH CENTER,CARRINGTON,ND,heart failure,11.9
CARRINGTON HEALTH CENTER,CARRINGTON,ND,pneumonia,9.4
PEMBINA COUNTY MEMORIAL HOSPITAL,CAVALIER,ND,heart attack,
PEMBINA COUNTY MEMORIAL HOSPITAL,CAVALIER,ND,heart failure,12
PEMBINA COUNTY MEMORIAL HOSPITAL,CAVALIER,ND,pneumonia,13
UNITY MEDICAL CENTER,GRAFTON,ND,heart attack,
UNITY MEDICAL CENTER,GRAFTON,ND,heart failure,
UNITY MEDICAL CENTER,GRAFTON,ND,pneumonia,13.2
WISHEK COMMUNITY HOSPITAL,WISHEK,ND,heart attack,
WISHEK COMMUNITY HOSPITAL,WISHEK,ND,heart failure,12
WISHEK COMMUNITY HOSPITAL,WISHEK,ND,pneumonia,11.5
ASHLEY MEDICAL CENTER,ASHLEY,ND,heart attack,
ASHLEY MEDICAL CENTER,ASHLEY,ND,heart failure,
ASHLEY MEDICAL CENTER,ASHLEY,ND,pneumonia,10.5
CAVALIER COUNTY MEMORIAL HOSPITAL,LANGDON,ND,heart attack,
CAVALIER COUNTY MEMORIAL HOSPITAL,LANGDON,ND,heart failure,10.9
CAVALIER COUNTY MEMORIAL HOSPITAL,LANGDON,ND,pneumonia,11.8
MERCY HOSPITAL OF VALLEY CITY,VALLEY CITY,ND,heart attack,
MERCY HOSPITAL OF VALLEY CITY,VALLEY CITY,ND,heart failure,11
MERCY HOSPITAL OF VALLEY CITY,VALLEY CITY,ND,pneumonia,8.9
ST LUKE'S HOSPITAL,CROSBY,ND,heart attack,
ST LUKE'S HOSPITAL,CROSBY,ND,heart failure,
ST LUKE'S HOSPITAL,CROSBY,ND,pneumonia,10.5
ST ALOISIUS MEDICAL CENTER,HARVEY,ND,heart attack,
ST ALOISIUS MEDICAL CENTER,HARVEY,ND,heart failure,9.4
ST ALOISIUS MEDICAL CENTER,HARVEY,ND,pneumonia,10.4
LINTON HOSPITAL - CAH,LINTON,ND,heart attack,
LINTON HOSPITAL - CAH,LINTON,ND,heart failure,13.3
LINTON HOSPITAL - CAH,LINTON,ND,pneumonia,12.2
HILLSBORO MEDICAL CENTER - CAH,HILLSBORO,ND,heart attack,
HILLSBORO MEDICAL CENTER - CAH,HILLSBORO,ND,heart failure,
HILLSBORO MEDICAL CENTER - CAH,HILLSBORO,ND,pneumonia,12.1
WEST RIVER REGIONAL MEDICAL CENTER-CAH,HETTINGER,ND,heart attack,14.9
WEST RIVER REGIONAL MEDICAL CENTER-CAH,HETTINGER,ND,heart failure,10.3
WEST RIVER REGIONAL MEDICAL CENTER-CAH,HETTINGER,ND,pneumonia,9.8
HEART OF AMERICA MEDICAL CENTER,RUGBY,ND,heart attack,
HEART OF AMERICA MEDICAL CENTER,RUGBY,ND,heart failure,11.3
HEART OF AMERICA MEDICAL CENTER,RUGBY,ND,pneumonia,11.5
MERCY MEDICAL CENTER,WILLISTON,ND,heart attack,16.8
MERCY MEDICAL CENTER,WILLISTON,ND,heart failure,13
MERCY MEDICAL CENTER,WILLISTON,ND,pneumonia,12.7
JAMESTOWN REGIONAL MEDICAL CENTER,JAMESTOWN,ND,heart attack,16
JAMESTOWN REGIONAL MEDICAL CENTER,JAMESTOWN,ND,heart failure,13.2
JAMESTOWN REGIONAL MEDICAL CENTER,JAMESTOWN,ND,pneumonia,12.6
ST JOSEPH'S HOSPITAL & HEALTH CENTER,DICKINSON,ND,heart attack,13.8
ST JOSEPH'S HOSPITAL & HEALTH CENTER,DICKINSON,ND,heart failure,11.6
ST JOSEPH'S HOSPITAL & HEALTH CENTER,DICKINSON,ND,pneumonia,10.7
